obra,obraId,codigoEvweb,descripcion,param1,param2
FEDERACION PATRONAL ART,228,6013,"Medicacion sistemica antalgica (neuroleptoanalgesia, agripnianalgesia): c/24hs o fraccion sig.",15204,89
FEDERACION PATRONAL ART,228,5059,Analgesia continua sistemica con o sin Pca. Controles,15208,89
FEDERACION PATRONAL ART,228,5064,"Analgesia regional continua con bomba de infusion para SDRC, (DSR) dias subsiguientes",15212,89
FEDERACION PATRONAL ART,228,5076,"Anestesia o sedacion-analgesia para bloqueos diagnosticos, corticoides",15216,90
FEDERACION PATRONAL ART,228,5058,Analgesia continua sistemica con o sin Pca. instalacion y primer dia de tratamiento,15218,90
FEDERACION PATRONAL ART,228,5879,Implante de cateter tunelizado para analgesia postop. o de corta duracion,15250,91
FEDERACION PATRONAL ART,228,5063,"Analgesia regional continua con bomba de infusion para SDRC, (DSR) colocacion y primer dia",15251,92
FEDERACION PATRONAL ART,228,7518,Adesiolisis radicular segun Raez. No incluye honorarios por analgesia,15281,95
FEDERACION PATRONAL ART,228,5060,Analgesia durante el trabajo de parto (peridural continua o perfusion de remifentanilo) menos de 90 minutos,15403,92
FEDERACION PATRONAL ART,228,5070,Anastomosis bilio-digestiva con o sin colecistectomia,13678,94
FEDERACION PATRONAL ART,228,5071,Anastomosis de conducto deferente,13679,90
FEDERACION PATRONAL ART,228,5072,Anastomosis pancreato-digestiva,13680,93
FEDERACION PATRONAL ART,228,5073,Anastomosis porto-cava o espleno-renal,13681,95
FEDERACION PATRONAL ART,228,5074,Anastomosis termino-terminal,13682,92
FEDERACION PATRONAL ART,228,5075,Anastomosis uretero-sigmoidea,13683,93
FEDERACION PATRONAL ART,228,5358,Coledoco-duodeno-anastomosis,13878,93
FEDERACION PATRONAL ART,228,5428,"Correccion de fistula biliar con anastomosis bilio-digestiva, con o sin colecistectomia",13930,94
FEDERACION PATRONAL ART,228,5479,Dacrio-cistorrinoanastomosis,13963,93
FEDERACION PATRONAL ART,228,5769,Fistula uretero-vaginal con anastomosis uretero-vesical,14183,94
FEDERACION PATRONAL ART,228,5774,Fistula vesico-utero-vaginal con anastomosis uretero-intestinal,14188,94
FEDERACION PATRONAL ART,228,5801,Gastroenteroanastomosis,14203,93
FEDERACION PATRONAL ART,228,5916,Injerto y/o anastomosis facial / hipogloso o similar,14294,92
FEDERACION PATRONAL ART,228,5658,Examen ginecologico bajo anestesia,69298,89
FEDERACION PATRONAL ART,228,8501,"Bloqueo peridural con anestesia local, opioides y/o corticoides (lumbar, Dorsal o Caudal)",69326,91
FEDERACION PATRONAL ART,228,8502,"Bloqueo peridural con anestesia local, opioides y/o corticoides (lumbar, Dorsal o Caudal) bajo radioscopia",69327,92
FEDERACION PATRONAL ART,228,8655,Anestesia para implante transitorio/definitivo de bomba intratecal (estimulador medular),71246,94
FEDERACION PATRONAL ART,228,5079,Anestesia para neurotomia (facial / glosofaringeo / neumogastrico),13684,91
FEDERACION PATRONAL ART,228,5080,Anestesia para neurotomia (infra o supraorbitaria / suboccipital / temporal superior),13685,91
FEDERACION PATRONAL ART,228,5657,Examen gineco-obstetrico bajo anestesia,14103,89
FEDERACION PATRONAL ART,228,6036,Movilizaciones bajo anestesia general o regional,14387,89
FEDERACION PATRONAL ART,228,6559,Trabajo de parto bajo anestesia epidural continua que fracasa y que termina en cesarea,14734,94
FEDERACION PATRONAL ART,228,5081,Anestesia para sesion de cobaltoterapia o acelerador,14862,90
FEDERACION PATRONAL ART,228,5082,Anestesia para terapia electroconvulsiva,14863,90
FEDERACION PATRONAL ART,228,5413,"Conduccion del trabajo de parto bajo anestesia epidural continua, que termina en parto (mas de 90 minutos)",15404,93
FEDERACION PATRONAL ART,228,5084,Aneurisma de la aorta abdominal complicado,13686,98
FEDERACION PATRONAL ART,228,5085,Aneurisma de la aorta abdominal no complicado,13687,95
FEDERACION PATRONAL ART,228,5086,Aneurisma del cayado de la aorta ascendente o descendente,13688,98
FEDERACION PATRONAL ART,228,5088,Aneurismas medulares,13689,95
FEDERACION PATRONAL ART,228,5089,Aneurismas o malformaciones A-V medulares,13690,95
FEDERACION PATRONAL ART,228,5090,Angiografia de control del tratamiento de aneurisma,13691,92
FEDERACION PATRONAL ART,228,5302,Cirugia de aneurisma cerebral (mas de 8 horas de duracion),13834,98
FEDERACION PATRONAL ART,228,5303,Cirugia de aneurisma cerebral (menos de 8 horas de duracion),13835,98
FEDERACION PATRONAL ART,228,5423,Correccion de aneurisma de fistula arterio-venosa,13925,93
FEDERACION PATRONAL ART,228,5424,Correccion de aneurisma o pseudo-aneurisma femoral,13926,94
FEDERACION PATRONAL ART,228,6592,Tratamiento de aneurisma con coils con o sin colocacion de stent,14760,95
FEDERACION PATRONAL ART,228,6595,Tratamiento de pseudoaneurisma con o sin colocacion de stent,14763,95
FEDERACION PATRONAL ART,228,6599,Tratamiento endovascular de aneurisma o pseudoaneurisma periferico,14766,94
FEDERACION PATRONAL ART,228,5087,Aneurisma ventricular,14865,95
FEDERACION PATRONAL ART,228,7551,Tratamiento endovascular aneurisma cerebral (embolizacion de aneurisma cerebral por hemodinamia),15532,95
